cell_id,cx,cy,cz,volume,sigma_t,sigma_s,q
27,0.15713981539011004,0.8150132596492767,0.15180233865976336,0.00010319181236230817,1.0,0.5,0.0
28,0.7567770854702991,0.9171929210424423,0.49754953567947474,0.00013367569776205298,1.0,0.5,0.0
29,0.3471799216408733,0.9428685647265013,0.9710337291655488,0.0002471821137000856,1.0,0.5,0.0
30,0.976588529191091,0.024401452185590124,0.3886772795697695,0.00016926633645568441,1.0,0.5,0.0
31,0.8097931077888019,0.4699061860351489,0.1005343720316887,0.00030859362586750666,1.0,0.5,0.0
32,0.022411149621867743,0.9535875469533293,0.8646183949377557,0.0001229396580713183,1.0,0.5,0.0
33,0.8176820278167725,0.23970235139131546,0.6844977140426636,5.159597834616236e-05,1.0,0.5,0.0
34,0.2849867045879364,0.26101016253232956,0.7271133363246918,0.0001547877185434621,1.0,0.5,0.0
35,0.3497769295441817,0.9447952806949615,0.8153596680732793,0.0001728559716163761,1.0,0.5,0.0
36,0.9191945642232895,0.7443445427877766,0.7598557882417056,0.0001304444852224573,1.0,0.5,0.0
37,0.8743968590699558,0.9171929210424423,0.17424737798686044,0.0001336758379869874,1.0,0.5,0.0
38,0.25302498042583466,0.2290484458208084,0.6951516270637512,0.00010319192060980786,1.0,0.5,0.0
39,0.30629452317953104,0.19708672165870667,0.19441796839237216,0.00010319186648605178,1.0,0.5,0.0
40,0.9730648547410965,0.6399191496557223,0.799255692282673,0.0001414964101791834,1.0,0.5,0.0
41,0.30975222963362303,0.944232476140886,0.8932912244752885,0.0004112619055295078,1.0,0.5,0.0
42,0.7857203185558319,0.2503562569618225,0.6951516270637512,0.00010319181236225767,1.0,0.5,0.0
43,0.146485909819603,0.8256671726703644,0.7377672493457794,0.0001031916680323925,1.0,0.5,0.0
44,0.9753487505883638,0.5007203776349491,0.9753970116858217,0.0001797020448012977,1.0,0.5,0.0
45,0.32429785930892885,0.9723976403474808,0.7089082663929345,0.00022091371860914473,1.0,0.5,0.0
46,0.09388357400894168,0.6633369378716337,0.19769382860087398,0.00030311297603768234,1.0,0.5,0.0
47,0.23123926799948344,0.9723976403474808,0.12178704476468089,0.00015788818613206583,1.0,0.5,0.0
48,0.3169484287500381,0.7830515205860138,0.7377672493457794,0.00020638362472461628,1.0,0.5,0.0
49,0.32527417967543004,0.9171929210424423,0.5743359788600888,0.0002673514422658052,1.0,0.5,0.0
50,0.7931165033194865,0.9723976403474808,0.5969718316122039,0.00018374275373678097,1.0,0.5,0.0
51,0.1406100960743292,0.8258723579503033,0.6949603582302444,0.00010411810946731738,1.0,0.5,0.0
52,0.031294524669647224,0.706591030281996,0.21416754089941523,0.00021748748338204708,1.0,0.5,0.0
53,0.3496840314637193,0.9447952806949615,0.6282717682350051,0.00016058251543444688,1.0,0.5,0.0
54,0.4554492011666298,0.6871663630008698,0.8549602031707764,0.00015478779070842003,1.0,0.5,0.0
55,0.2808935028644345,0.8391724926370254,0.5233972303562435,0.00034550265236868856,1.0,0.5,0.0
56,0.3885797527185516,0.030627340078353875,0.7355906260139704,0.00022714055716982766,1.0,0.5,0.0
57,0.23171716183423996,0.8469749689102173,0.7803828716278076,0.00020638355255958257,1.0,0.5,0.0
58,0.25302498042583466,0.2503562569618225,0.865614116191864,0.00010319192060980786,1.0,0.5,0.0
59,0.6869644484650719,0.9171929210424423,0.5681466229138454,0.00013367574450365413,1.0,0.5,0.0
60,0.48523876209172395,0.259931630961534,0.9045375436544418,8.899154749002279e-05,1.0,0.5,0.0
61,0.7495048175088765,0.9723976403474808,0.46071671462961034,0.00018812799848802982,1.0,0.5,0.0
