face_id,left_cell,right_cell,nx,ny,nz,area,fx,fy,fz,bc_type,bc_value
5364,1608,3486,-1.0,0.0,0.0,0.003632177444792717,0.892259418964386,0.832769771416982,0.7448698480923971,internal,0.0
5365,1609,3242,-0.8623273783773974,-0.0,-0.5063511553267799,0.005588235453243174,0.8701266007998041,0.8632129316014149,0.9246146281560262,internal,0.0
5366,1610,3157,-0.4821145834282434,-0.8357327641709094,0.2628997438893059,0.00620393355453988,0.9335186178226914,0.8042721876513969,0.9623073140780131,internal,0.0
5367,1611,2126,1.0,-0.0,0.0,0.003632179984879969,0.8070281147956848,0.6907176772753397,0.14825103680292767,internal,0.0
5368,1612,3601,0.0,0.9101789486748492,-0.4142152597251172,0.005611079291554705,0.8398380755183843,0.7009485650274793,0.0798937479654948,internal,0.0
5369,1612,5128,0.7033690815366133,-0.7033700653094959,-0.10267661060269087,0.007260880868268493,0.8398380755183843,0.6725381700410087,0.0798937479654948,internal,0.0
5370,1612,2126,-0.0,0.0,1.0,0.00363218252496722,0.8354385495185852,0.6907176772753397,0.1198406219482422,internal,0.0
5371,1613,1625,-0.0,0.787078836021839,0.6168524182383556,0.006488656829558484,0.25244809384171013,0.6652042032783512,0.0798937479654948,internal,0.0
5372,1613,4987,-0.8141199625185995,-0.2885812808521256,-0.5039142099310762,0.007714573048104583,0.2500506734207421,0.6615729604770056,0.0399468739827474,internal,0.0
5373,1613,5271,0.938995351783481,0.33284588734756443,-0.08661030311013361,0.006688625144779328,0.278461098209535,0.6615729604770056,0.0399468739827474,internal,0.0
5374,1614,4354,0.2761634047631959,0.45967240277428256,0.8440586804229412,0.006112480110847942,0.9640864729881287,0.35129151089724237,0.36668964727785963,internal,0.0
5375,1614,4058,-0.11807994681466923,0.0,0.9930040917137476,0.004623779442777508,0.9281729459762573,0.32037482071811135,0.37980492913422087,internal,0.0
5376,1615,1646,-0.0,1.0,-0.0,0.003632187605148824,0.8638489842414856,0.2077406346797943,0.43235525488853455,internal,0.0
5377,1615,4014,1.0,0.0,-0.0,0.0036321863351034232,0.892259418964386,0.17933020989100137,0.43235525488853455,internal,0.0
5378,1615,5130,-0.5773502018967256,-0.5773504037754017,-0.5773502018967264,0.0062911320082176675,0.8638489842414856,0.17933020989100137,0.43235525488853455,internal,0.0
5379,1615,3540,0.0,0.0,1.0,0.003632186335103428,0.8638489842414856,0.17933020989100137,0.4607656896114349,internal,0.0
5380,1616,4255,0.3162280313933981,0.0,0.9486832095916191,0.0057429840249352635,0.764412542184194,0.2503562569618225,0.5317917466163635,internal,0.0
5381,1616,5133,-1.2362498333267985e-07,0.7071068429990748,-0.7071067193740042,0.005136682236854627,0.7928229371706644,0.2503562569618225,0.5033813218275706,internal,0.0
5382,1616,4015,-0.7071071520614983,-0.0,-0.7071064103114021,0.005136680889769328,0.7502073248227438,0.23615104953447977,0.5175865391890208,internal,0.0
5383,1616,2279,0.4082484094220048,-0.8164966760942703,0.40824798117248684,0.004448497178661312,0.7928229371706644,0.22194584210713705,0.5033813218275706,internal,0.0
5384,1617,2515,-0.0,-1.0,0.0,0.0036321825249672154,0.7502073248227438,0.12250936031341549,0.43235525488853455,internal,0.0
5385,1617,2222,0.7071072756863516,-0.0,-0.7071062866863976,0.005136683583941139,0.7786177198092142,0.15091978510220846,0.43235525488853455,internal,0.0
5386,1617,4254,-0.7071071520614982,0.7071064103114022,0.0,0.0051366844819970454,0.7502073248227438,0.15091978510220846,0.43235525488853455,internal,0.0
5387,1618,2930,-0.514495698988052,0.6859944252292373,-0.514495698988052,0.010589532075763476,0.7360021074612936,0.5060499707857767,0.7306646307309469,internal,0.0
5388,1619,3472,0.7061716170648271,-0.0514231535715693,0.7061708762961001,0.007517893610770756,0.7721128722760097,0.5923712608817638,0.4926570849687005,internal,0.0
