face_id,left_cell,right_cell,nx,ny,nz,area,fx,fy,fz,bc_type,bc_value,source_fraction
55035,19695,30397,-0.7071067811865485,-0.7071067811865467,-1.8574194080331298e-15,0.0006420856725067571,0.29564061760902405,0.6338968873023987,0.10563541452089946,internal,0.0,1.0
55036,19696,19780,0.0,0.9925685025998019,0.1216871712498358,0.0012003944541275407,0.6782777145797126,0.23133356249136325,0.03727812568346659,internal,0.0,1.0
55037,19696,24669,0.0,-0.0,1.0,0.0009080462662645061,0.6720786690711975,0.21484323839346567,0.05591718852519989,internal,0.0,1.0
55038,19696,26688,-0.9488965247405746,0.0,-0.31558736561411993,0.0012556404850962912,0.6640724972182624,0.2171283550640205,0.03727812568346659,internal,0.0,1.0
55039,19697,19701,0.6906149369659829,-0.21471225067656796,-0.6906154199327396,0.001807574148960607,0.3834772248719893,0.03905727962652842,0.5120581394317097,internal,0.0,1.0
55040,19697,29354,0.0,0.08034963588288786,0.9967667410249437,0.0012523878742787575,0.3834772248719893,0.03905727962652842,0.5262633468590525,internal,0.0,1.0
55041,19697,23750,0.0,1.0,0.0,0.0009080462662645049,0.37376925349235535,0.05858591943979263,0.5104839305082957,internal,0.0,1.0
55042,19698,19699,0.03830185135247581,-0.9758685021728005,0.2149735673286084,0.0016693663272688629,0.6166879789600921,0.09304570324900792,0.018639062841733296,internal,0.0,1.0
55043,19698,19702,0.7832679344535493,0.5242324145087743,0.33417318628994047,0.0015950717543821967,0.6261411688308921,0.1087034811633149,0.018639062841733296,internal,0.0,1.0
55044,19698,-1,0.0,0.0,-1.0,0.0013360848330284177,0.6171449809207116,0.10424440038231264,0.0,example1,0.0,0.0
55045,19700,-1,-0.0,-0.0,-1.0,0.001362849386734495,0.6758920750691167,0.106605707799449,0.0,example1,0.0,0.0
55046,19700,19901,0.6998579246979387,0.4822072076124256,0.5269488534612456,0.0017827258775226602,0.6796709251856909,0.11030247294184026,0.018639062841733296,internal,0.0,1.0
55047,19700,35341,0.04013885051545462,-0.9816247568526105,0.18655216271421565,0.0016920067560802841,0.6701178405340839,0.09461773063034289,0.018639062841733296,internal,0.0,1.0
55048,19702,19884,-0.0,0.8571831710198521,0.5150116613440427,0.0013899873050994436,0.6299200189474664,0.11240024630570615,0.03727812568346659,internal,0.0,1.0
55049,19704,34183,0.6969721028202509,0.10734929771447914,0.7090176416497164,0.0018143648105163413,0.48535680206129284,0.2508770912875096,0.18534241688024497,internal,0.0,1.0
55050,19704,19705,0.019037495938085038,0.6577810774160581,-0.7529685437930175,0.003197551763815943,0.46047806074287045,0.2557739975093178,0.1659694131533786,internal,0.0,1.0
55051,19704,33020,-0.6142939304815475,0.0008024562644902561,0.7890768803085509,0.0034204196364607956,0.44984378845998974,0.24377448757383827,0.17823981316657359,internal,0.0,1.0
