cell_id,cx,cy,cz,volume,sigma_t,sigma_s,q
141,0.4613779136589291,0.46541497575380053,0.25877840524430684,3.8290061118079626e-05,1.0,0.5,0.0
142,0.2652402357265665,0.13631658681599665,0.31653991211019317,3.180267414153215e-05,1.0,0.5,0.0
143,0.28917143318582866,0.5252407435969352,0.9877113401889801,2.4549692214090286e-05,1.0,0.5,0.0
144,0.18304718869079634,0.24308451783299106,0.9754226803779602,2.017214501481227e-05,1.0,0.5,0.0
145,0.24237106740474706,0.2929718792438507,0.8549602031707764,3.8696992780257285e-05,1.0,0.5,0.0
146,0.9455288499593735,0.7191280722618103,0.8443062901496887,1.2898949483363097e-05,1.0,0.5,0.0
147,0.07190855965018274,0.38885703682899475,0.5992664396762848,1.2898963014328968e-05,1.0,0.5,0.0
148,0.251522359402437,0.31327593329923753,0.9754226803779602,1.7786353151079362e-05,1.0,0.5,0.0
149,0.9671370387077332,0.8359429393554574,0.20681205999389562,1.326266925555133e-05,1.0,0.5,0.0
150,0.90291328728199,0.6871663630008698,0.5673047602176666,6.449465721114181e-05,1.0,0.5,0.0
151,0.2693872504072683,0.3310397999144067,0.7738826040709929,9.244579300298443e-05,1.0,0.5,0.0
152,0.12949774002198042,0.19254775912852296,0.608082062503271,2.362432443980891e-05,1.0,0.5,0.0
153,0.6525464951992035,0.5539925396442413,0.33824571222066885,2.579798917308118e-05,1.0,0.5,0.0
154,0.9185766193951437,0.029292959719896317,0.37159072213313116,2.1197900446190345e-05,1.0,0.5,0.0
155,0.07925714274852257,0.029292959719896317,0.8668412715060227,1.2589282411224823e-05,1.0,0.5,0.0
156,0.6738543212413788,0.5753003656864166,0.29563008993864065,5.159598736679789e-05,1.0,0.5,0.0
157,0.16800941368986294,0.4202246956843596,0.9631340205669403,1.4878208068861776e-05,1.0,0.5,0.0
158,0.16246676817536357,0.27699101716279984,0.8496332466602325,1.28989855659114e-05,1.0,0.5,0.0
159,0.6516376187826093,0.6018279075476776,0.29719109311772696,3.6208415766006655e-05,1.0,0.5,0.0
160,0.03062732517719269,0.17415328266228047,0.9268085127986736,1.257896193019846e-05,1.0,0.5,0.0
161,0.9082402437925339,0.3515683561563492,0.7217864096164703,2.5797935049306037e-05,1.0,0.5,0.0
162,0.8762785494327545,0.08522068709135054,0.8389793336391449,5.159598623921839e-05,1.0,0.5,0.0
163,0.9671370387077332,0.2519169560927551,0.6736418880393641,1.3262701717988745e-05,1.0,0.5,0.0
164,0.14115895703434947,0.21306758746504784,0.9348645061254501,3.869692061524267e-05,1.0,0.5,0.0
165,0.9671370387077332,0.5172173683257661,0.805652264248698,1.3262687805504447e-05,1.0,0.5,0.0
166,0.6472195386886597,0.5806273221969604,0.34357266873121267,5.159597834616236e-05,1.0,0.5,0.0
167,0.03062732517719269,0.9032613367363833,0.4060196099765224,4.433234693375869e-05,1.0,0.5,0.0
